ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Paul2007,Paul 2007,2007,Mittelhochdeutsche Grammatik (= Sammlung kurzer Grammatiken Germanischer Dialekte 2),,Paul,Hermann (u.a.),Tübingen,Niemeyer,,1,,,,Literatur,,
Peller1941,Peller 1941,1941,Wortstellungsfragen in der Mundart des Traunseegebiets. Diss. (masch.),,Peller ,Irmgard,Wien,Diss.,,,,,,Literatur,Fachliteratur,Dissertation
Perner1971,Perner 1971,1971, Lautlehre der Mundart der Ramsau am Dachstein. Diss.,,Perner,Wilhelm,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
Peter1975,Peter 1975,1975,"Salzburger Tänze. Gesammelt und beschrieben von Peter, Ilka. Zweistimmiger Notensatz von Lager, Herbert",,Peter,Ilka,Salzburg,,,,,,,Literatur,,
Petrikovits1922,Petrikovits 1922,1922,"Die Wiener Gauner-, Zuhälter- und Dirnensprache. Zusammengest. von Petrikovits, Albert",,Petrikovits,Albert,Wien,,,,,,,Literatur,,
PfälzischesWb1975II,Pfälzisches Wb. 1975 II,1975,Pfälzisches Wörterbuch,Band 2: D/T. E. F/V,Christmann/Akademie der Wissenschaften und der Literatur Mainz (Hrsg.),Ernst,Wiesbaden,Steiner,,1,,,,Literatur,Fachliteratur,Wörterbuch
Pfanhauser1881,Pfanhauser 1881,1881,Dachsteinbleameln. Gedichte in oberösterreichischer Mundart,,Pfanhauser,Augustin,Wien,Carl Gerolds Sohn,,1,,,,Literatur,Literar.Text,Gedichte
Pfeifer_online,Pfeifer online,,Etymologisches Wörterbuch des Deutschen. Digitalisierte und von Wolfgang Pfeifer überarbeitete Version im Digitalen Wörterbuch der deutschen Sprache.,,Pfeifer,Wolfgang,,,,1,,,,Literatur,Fachliteratur,Wörterbuch
Pfeifer2014,Pfeifer 2014,2014,Etymologisches Wörterbuch des Deutschen,,Pfeifer,Wolfgang,Koblenz,Edition Kramer,,1,,,,Literatur,Fachliteratur,Wörterbuch
Pflanzl1907,Pflanzl 1907,1907,Auf da Ofnbänk. Allerhand dumme und g'scheite Sochan in da hoamatlich'n Sprach z'sammgreimt und außageb'n. 4. verb. u. erw. Aufl.,,Pflanzl,Otto,Salzburg,,,,,,,Literatur,,
