ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Achleitner1884,Achleitner 1884,1884,"Aus dem Walde. Lieder. ""Im wunderschönen Monat Mai ..."". Überackern 1884",,Kellnarn,Karl,,Überackern,,,,,,Literatur,Literar.Text,Lieder
Achleitner1889,Achleitner 1889,1889,Weil ma’ in d’Welt taug’n Gedichte in oberösterreichischer Mundart.,,,,Hamburg,,,,erg. MHF,"Achleitner 1889 = Achleitner, C. (1889). Weil ma’ in d’Welt taug’n! Gedichte in oberösterreichischer Mundart. Hamburg",,Literatur,Literar.Text,Gedichte
Adelung1796II,Adelung 1796 II,1796,"Grammatisch-kritisches Wörterbuch der hochdeutschen Mundart, mit beständiger Vergleichung der übrigen Mundarten, besonders aber der Oberdeutschen.",Band 2: F–L,Societad Retorumantscha (Hrsg.),Johann Christoph,Leipzig,Johann Gottlob Immanuel Breitkopf und Compagnie,,1,,,,Literatur,Fachliteratur,Wörterbuch
Alton1897,Alton 1897,1897,"Die ladinischen Idiome in Ladinien, Gröden, Fassa, Buchenstein, Ampezzo",,Alton,Johann,Innsbruck,Wagner'sche,,,,,,Literatur,,
Arbeiterztg,Arbeiterztg.,1889–1934. 1945–1985,Arbeiterzeitung. Zentralorgan der SozialistischenPartei Österreichs,,,,Wien,,,,,,,Literatur,Journalist.Text,Zeitung
Artmann1958,Artmann 1958,1958,med ana schwoazzn dintn. gedichta r aus bradnsee. 8. Aufl.,,Artmann,Hans Carl,Salzburg,,,,,,,Literatur,Literar.Text,Gedichte
AWB_online,AWB online,,Althochdeutsches Wörterbuch. Auf Grund der von Elias v. Steinmeyer hinterlassenen Sammlungen im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig. Online verfügbar unter http://awb.saw-leipzig.de/,,,,Leipzig,Akademie-Verlag,https://www.saw-leipzig.de/de,,,,,Literatur,Fachliteratur,Wörterbuch
AWB1968I,AWB 1968 I,1968,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings",Band 1: A und B,Karg-Gasterstädt/Frings (Hrsg.),Elisabeth/Theodor,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB1985III,AWB 1985 III,1985,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings",Band 3: E und F,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB1997II,AWB 1997 II,1997,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings.",Band 2: C und D,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB2002IV,AWB 2002 IV,2002,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings",Band 4: G–J,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB2009V,AWB 2009 V,2009,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings.",Band 5: K und L,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,,,,,Literatur,Fachliteratur,Wörterbuch
Bauer1967,Bauer 1967,1967,Lautlehre der Mundart des Lungaus mit besonderer Berücksichtigung von Zederhaus. Diss. (masch.),,Bauer ,Werner,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
BDO,BDO,,"BDO | Bayerns Dialekte Online, https://bdo.badw.de/",,,,,,,,,,,Literatur,Fachliteratur,Wörterbuch
Bergmann2007,Bergmann 2007,2007,"Gröfel, Gröben 'Steinhaufen' – Dialektologisches und Namenkundliches rund um einen Slawismus im Bairischen. In Jezikoslovni zapiski 13(1–2), S. 43–58.",,Bergmann,Hubert,,,,,,,,Literatur,Fachliteratur,Wiss.Zeitschriftenartikel
Binder1968,Binder 1968,1986,Die Mundart von Prambachkirchen bei Eferding,,Binder,Gerda,Wien,Notring,,,,,,Literatur,,
BMZ1854I,BMZ 1854 I,1854,Mittelhochdeutsches Wörterbuch. Mit Benutzung des Nachlasses von Georg Friedrich Benecke ausgearbeitet von Wilhelm Müller und Friedrich Zarncke,Band 1: A–L,Benecke/Müller/Zarncke,Georg Friedrich/Wilhelm/Friedrich,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
BMZ1861III,BMZ 1861 III,1861,Mittelhochdeutsches Wörterbuch. Mit Benutzung des Nachlasses von Georg Friedrich Benecke ausgearbeitet von Wilhelm Müller und Friedrich Zarncke,Band 3: T–Z,Benecke/Müller/Zarncke,Georg Friedrich/Wilhelm/Friedrich,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
BMZ1863II1,BMZ 1863 II/1,1863,Mittelhochdeutsches Wörterbuch. Mit Benutzung des Nachlasses von Georg Friedrich Benecke ausgearbeitet von Wilhelm Müller und Friedrich Zarncke,Band 2/1: M–R,Benecke/Müller/Zarncke,Georg Friedrich/Wilhelm/Friedrich,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
BMZ1866II2,BMZ 1866 II/2,1866,Mittelhochdeutsches Wörterbuch. Mit Benutzung des Nachlasses von Georg Friedrich Benecke ausgearbeitet von Wilhelm Müller und Friedrich Zarncke,Band 2/2: S,Benecke/Müller/Zarncke,Georg Friedrich/Wilhelm/Friedrich,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
Braun1958,Braun 1958,1958,Die Mundart von Rohrendorf an der Pulkau. Sprachbiologische Untersuchungen. Diss. (masch.) ,,Braun,Ingeborg,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Braun1975,Braun 1975,1975,"Der mundartliche Wortschatz des Burgenlandes, erarbeitet an Hand der Tonaufnahmen der Wörterbuchkommission der Österreichischen Akademie der Wissenschaften.",,Braun,Annemarie,Wien,Diss. ,,,,,,Literatur,Fachliteratur,Wörterbuch
Bredenbrücker1901,STirId. 1901,1901,"Erklärung einiger in Südtirol gebräuchlicher Wörter. In: ders.: Unterm Liebesbann. Erzählung aus Südtirol. Bd. 2, 277–332",,Bredenbrücker,Richard,Berlin,F. Fontane & Co.,,1,,,,Literatur,Literar.Text,Prosa
Bruckner1910,Bruckner 1910,1910,Auf da´ Sunnseitn. Gedichte in n.-ö. Mundart,,Bruckner,Anton,St. Pölten,,,,,,,Literatur,Literar.Text,Gedichte
Brunbauer1956,Brunbauer 1956,1956,"Die dialektgeographische Struktur des westlichen Niederösterreich zwischen Enns, Donau, Erlaf, steirischer Landesgrenze",,Brunbauer,Elfriede,Innsbruck,,,,,,,Literatur,,
Burnadz1966,Burnadz 1966,1966,Die Gaunersprache der Wiener Galerie,,Burnadz,Julian Marian,Lübeck,Verl. f. polizeiliches Fachschrifttum Georg Schmidt-Römhild,,1,,,,Literatur,Fachliteratur,Wörterbuch
Chiavacci1947,Chiavacci 1947,1947,Aus der stillen Zeit. Wiener Roman aus den fünfziger Jahren des vorigen Jahrhunderts,,Chiavacci,Vincenz,Wien,Gerlach & Wiedling,,,,,,Literatur,Literar.Text,Prosa
Christoph1966,Christoph 1966,1966,Beobachtungen zum gegenwärtigen Sprachwandel in Lautstand und Wortschatz der Mundard von Sölden im Ötztal [Tir.],,Christoph,Horst Edwin,Innsbruck,,,,,,,Literatur,,
DerSchlern1920,Der Schlern 1920,1920–1938. 1946–lfd.,Der Schlern. Monatszeitschrift für Südtiroler Landeskunde,,,,Bozen,,,1,"Allgemeine Quellenangabe ""Der Schlern"" nicht notwendig, weil Einzelangaben?",,,Literatur,Fachliteratur,Wiss.Zeitschrift
DiePresse,Die Presse,1982,Die Presse,,,,Wien,,,,,,,Literatur,Journalist.Text,Zeitung
Döbel1786,Döbel 1786,1786,"Heinrich Wilhelm Döbels neueröffnete Jägerpraktik, oder der wohlgeübte und erfahrne Jäger: worinn eine vollständige Anweisung zur ganzen hohen und niedern Jagdwissenschaft in vier Theilen enthalten ist, alles aus vieljähriger eigenen Erfahrung gründlich und deutlich beschrieben. Mit vielen Kupfern und Grundrissen",,Döbel,Heinrich Wilhelm,Wien,Edler von Trattner,,1,,,,Literatur,,
DRG1975VI,DRG 1975 VI,1975,Dicziunari Rumantsch Grischun,Band 6: F,Societad Retorumantscha (Hrsg.),,Cuoira,Inst. dal Dicziunari Rumantsch Grischun,,1,,,,Literatur,Fachliteratur,Wörterbuch
DRWIV,DRW IV,1951,Deutsches Rechtswörterbuch. Wörterbuch der älteren deutschen Rechtsprache. Hrsg. Von der Heidelberger Akademie der Wissenschaften. Online-Version verfügbar unter https://drw-www.adw.uni-heidelberg.de/drw-cgi/zeige,Band IV Geleitlich bis Handangelobung,,,Wien,Hermann Böhlaus Nachf.,https://drw-www.adw.uni-heidelberg.de/drw-cgi/zeige,,,,,Literatur,Fachliteratur,Wörterbuch
Duden_online,Duden online,,Duden online,,Dudenredaktion,,,,,1,,,,Literatur,Fachliteratur,Wörterbuch
Duden2014,Duden 2014,2014,Das Herkunftswörterbuch. Etymologie der deutschen Sprache,,Dudenredaktion,,Berlin,Dudenverlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
Duden2015,Duden 2015,2015,Deutsches Universalwörterbuch. Das umfassende Bedeutungswörterbuch der deutschen Gegenwartssprache,,Dudenredaktion,,Berlin,Dudenverlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
DWB_Neub_online_A-F,DWB Neub. online A-F,,"Deutsches Wörterbuch von Jacob Grimm und Wilhelm Grimm / Neubearbeitung (A-F), digitalisierte Fassung im Wörterbuchnetz des Trier Center for Digital Humanities",,,,,,https://www.woerterbuchnetz.de/DWB2,,,,,Literatur,Fachliteratur,Wörterbuch
DWB1854I,DWB 1854 I,1854,Deutsches Wörterbuch,Band 1: A–Biermolke,Grimm/Grimm,Jacob/Wilhelm,Leipzig,HIrzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
DWB1862III,DWB 1862 III,1862,Deutsches Wörterbuch,Band 3: E–Forsche,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
DWB1873V,DWB 1873 V,1873,Deutsches Wörterbuch,Band 5: K–Kyrie eleison,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
DWB1878IV,DWB 1878 IV,1878,Deutsches Wörterbuch,Band 4: Forschel-J,Grimm/Grimm,Jacob/Wilhelm,Leipzig,,,,,,,Literatur,Fachliteratur,Wörterbuch
DWB1878IV/I/1,DWB 1878 IV/I/1,1878,Deutsches Wörterbuch,Band 4/I/1: Forschel – Gefolgsmann,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
DWB1889VII,DWB 1889 VII,1889,Deutsches Wörterbuch,Band 7: N–Q,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
DWB1899IX,DWB 1899 IX,1899,Deutsches Wörterbuch,Band 9:  Schiefeln – Seele,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,,,,,Literatur,Fachliteratur,Wörterbuch
DWB1934IVIVI,DWB 1935 IV/I/IV,1935,Deutsches Wörterbuch,Band IV/I/6: Greander – Gymnastik,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,,,,,Literatur,Fachliteratur,Wörterbuch
DWB1942X/IV,DWB 1942 X/IV,1942,Deutsches Wörterbuch,Band 10/4: Strom–Szische,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,,,,,Literatur,Fachliteratur,Wörterbuch
DWB1951XII/II,DWB 1951 XII/II,1951,Deutsches Wörterbuch,Band 12/2: Vesche-Vulkanisch,Grimm/Grimm,Jacob/Wilhelm,Leipzig,,,,,,,Literatur,Fachliteratur,Wörterbuch
DWB1955XIV/I/1,DWB 1955 XIV/I/1,1955,Deutsches Wörterbuch,Band 14/I/1; Weh – Wendunmut,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,,,,,Literatur,Fachliteratur,Wörterbuch
DWB1956XII,DWB 1956 XII,1956,Deutsches Wörterbuch,Band 12: V,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,1,,,,Literatur,Fachliteratur,Wörterbuch
DWB1958VIII,DWB 1958 VIII,1958,Deutsches Wörterbuch,Band 8: Glibber - Gräzist,Grimm/Grimm,Jacob/Wilhelm,Leipzig,Hirzel,,,,,,Literatur,Fachliteratur,Wörterbuch
Ebner1966,Ebner 1966,1966,Die Mundart des Mondseelandes. Diss.,,Ebner ,Jakob,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
Ebner2019,Ebner 2019,2019,"Österreichisches Deutsch: Wörterbuch der Gegenwartssprache in Österreich. 5., völlig überarbeitete und erweiterte Auflage",,Ebner,Jakob,Berlin,Dudenverlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
Edelmann1947,Edelmann 1947,1947,"Das blaue Montaghaus. Bilder aus dem Volksleben des vergangenen, alten Wien.",,Edelmann,Karl,Wien,,,,,,,Literatur,,
ElsWb_online,ElsWb online,,"Wörterbuch der elsässischen Mundarten, digitalisierte Fassung im Wörterbuchnetz des Trier Center for Digital Humanities, <https://www.woerterbuchnetz.de/ElsWB>",,,,,,https://www.woerterbuchnetz.de/ElsWB,,,,,Literatur,Fachliteratur,Wörterbuch
ESSČ_online,ESSČ online,2006–,Elektronický slovník staré češtiny. Online,,,,Praha,Ústav pro jazyk český Akademie věd České republiky,http://vokabular.ujc.cas.cz,,,,,Literatur,Fachliteratur,Wörterbuch
EWAonline,EWA online,,"Etymologisches Wörterbuch des Althochdeutschen, https://ewa.saw-leipzig.de/de",,,,,,,,,,,Literatur,Fachliteratur,Wörterbuch
Fellöcker1885,Fellöcker 1885,1885,Kripplgsangl und Kripplspiel in der oberösterreichischen Volksmundart,Band 6,Fellöcker,Sigmund,Linz,,,,,,,Literatur,,
Fiala1965,Fiala 1965,1965,Mundartkundliches und Sachliches in der Bauernarbeit im Großarltal (Salzburg),,Fiala,Karl,Wien,,,,,,,Literatur,,
Fink1968,Fink 1968,1968,"Der tirolisch-mundartliche Konjunktiv. Neue, veraltete und Erinnerungsformen in Südtirol. In: ZsSchlern 42 (1968) 487-492",,Fink,Hans,,,,,,,,Literatur,,
Fink1972,Fink 1972,1972,"Tiroler Wortschatz an Eisack, Rienz und Etsch",,Fink,Hans,Innsbruck / München,Wagner,,1,,,,Literatur,Fachliteratur,Wörterbuch
Follrich1966,Follrich 1966,1966,Die Mundart von Ernstbrunn in Niederösterreich und seiner Umgebung. Diss. (masch.),,Follrich,Gertraud,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Frimberger1895,Frimberger 1895,1895,Wia d’ Leut’ san und wia s’ sein söll’n. Gedichte in nieder-österreichischer Mundart.,,Frimberger,Johann Georg,Stuttgart,,,,,,,Literatur,Literar.Text,Gedichte
Frings1966,Frings 1966 I,1966,Germania Romana. 2. Auflage (= Mitteldeutsche Studien 19/1),Band 1,Frings/Müller,Theodor/Gertraud,Halle (Saale),Niemeyer,,1,,,,Literatur,,
Frings1968,Frings 1968 II,1968,Germania Romana. 2. Auflage (= Mitteldeutsche Studien 19/2),Band 2,Frings/Müller,Theodor/Gertraud,Halle (Saale),Niemeyer,,1,,,,Literatur,,
Frühnhd_online,Frühnhd. Wb. online,,Frühneuhochdeutsches Wörterbuch online,,Akademie der Wissenschaften zu Göttingen,,,,,1,,,,Literatur,Fachliteratur,Wörterbuch
Fuchs1930,Fuchs 1930,1930,Die Bauernkost im Sulmtale. In: Zeitschrift für Volkskunde 39 = NF 1. 26–50.,,Fuchs,Hans Maria,,,,,,,,Literatur,,
Gappmayr1938,Gappmayr 1938,1938,"Der Vokalismus der Mundart von Großarl, Salzburg. Diss. (hs.)",,Gappmayr,Johann,Innsbruck,,,1,,,,Literatur,Fachliteratur,Dissertation
Gathy1840,Gathy 1840,1840,"Musikalisches Conversations-Lexikon.  Encyklopädie der gesammten Musik-Wissenschaft für Künstler, Kunstfreunde und Gebildete. 2. verm. und verb. Aufl.",,Gathy,August,Hamburg,Niemayer,,1,,,,Literatur,,
Geiger1956,Geiger 1956,1956,Lautstand und Volksleben in der Mundart von Puchberg am Schneeberg,,Geiger,Brunhilde,Wien,,,,,,,Literatur,,
Glawischnig1948,Glawischnig 1948,1948,Der Kronawöttarhof. Karntnar Bildarbuach. ,,Glawischnig,Gerhard,Graz / Wien,,,,,,,Literatur,,
Goldbacher1904,Goldbacher 1904,1904,Gmüatlichö Sach'n. Gedichte in oberösterreichischer Mundart,,Goldbacher,Gregor,Steyr,Verlag der Sandbökschen Buchhhandlung,,1,,,,Literatur,Literar.Text,Gedichte
Graber1944,Graber 1944,1944,Sagen aus Kärnten,,Graber,Georg,Graz,Leykam,,,,,,Literatur,,
Grasberger (1885) Plodersam Geistl'n-G'schichten,Grasberger 1885,1885,"Plodersam. Geistli’n-G’schichtn, g’sangsweis dazält",,Grasberger,Hans,Leipzig,,,,,,,Literatur,,
Grazer_TP,Grazer Tagespost,1861-1945,Grazer Tagespost,,,,Graz,,,,,,,Literatur,Journalist.Text,Zeitung
GrazerVolksblatt,Grazer Volksblatt,1868–1939,Grazer Volksblatt,,,,,,,,auf Anno verfügbar,,,Literatur,Journalist.Text,Zeitung
Greinz1912,Greinz 1912,1912,Hin ist hin! Lutige Marterln von Rudolf Greinz. 1.–3. Taus.,,Greinz,Rudolph-Heinrich,Leipzig,L. Staackmann,,,,,,Literatur,,
Greinz1913,Greinz 1913,1913,Unterm roten Adler. Lustige Tiroler Geschichten. ,,Greinz,Rudolf Heinrich,Leipzig,,,,,,,Literatur,Literar.Text,Prosa
Grünn1960,Grünn 1960,1960, Die Pecher : Volkskunde aus dem Lebenskreis des Waldes,,Grünn,Helene,Wien / München,Manutiuspresse,,,,,,Literatur,,
Häberlein2006,Häberlein 2006,2006,The Fuggers of Augsburg: Pursuing Wealth and Honor in Renaissance Germany,,Häberlein,Mark,Charlottesville / London,University of Virginia Press,,,,,,Literatur,,
HDAVII,HDA VII,1935,Handwörterbuch des deutschen Aberglaubens,Band 7: Pflügen–Signatur,Hoffmann-Krayer/Bächtold-Stäubli,Eduard/Hanns,Berlin / Leipzig,De Gruyter,,1,,,,Literatur,Fachliteratur,Wörterbuch
Herzmansky1969,Herzmansky 1969,1969,"Der alte Wortschatz der Bauern, Handwerker und Knappen in der Umgebung von Villach. Diss. (masch.)",,Herzmansky,Solveig,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Hiermanseder1968,Hiermanseder 1968,1968,Die Mundart von Suben im Innviertel (OÖ). Untersuchungen am Wortschaftz und an den Reihenverhältnissen im Vokalismus,,Hiermanseder,Helga,Wien,,,,,,,Literatur,,
Hilpert1959,Hilpert 1959,1959,Die Bienenzucht in der Sprache der alten Mühlviertler. In: Der oberösterreichische Imker.,,Hilpert,Max,Linz,,,,,,,Literatur,,
Hintner1878,Hintner 1878,1878,Der Deferegger Dialekt (=Beiträge zur tirolischen Dialektforschung),,Hintner,Valentin,Wien,,,,,,,Literatur,,
Hoamatgsang1930_1,"Hoamátgsang 1930, 1",1930,Hoamátgsang. Jahrbuch des Vereins „Bund Oberösterreichischer Mundartdichter“.,Jahrgang 1,Goldbacher/Mayer,Gregor/Karl,Linz,,,,"Herausgeber, keine Autoren",,,Literatur,,
Hoeniger1946,Hoeniger 1946,1946,"Südtiroler Weinfibel. Weinchronik, Weinreise, Weinkost, Weinwörterbuch, Weinschriften",,Hoeniger,Karl Theodor,Bozen,Verlag des Südtiroler Künstlerbundes,,1,,,,Literatur,Fachliteratur,Wörterbuch
Höfer1815,Höfer 1815,1815,"Etymologisches Wörterbuch der in Oberdeutschland, vorzüglich aber in Österreich üblichen Mundart",3 Teile,Höfer,Matthias,Linz,Kastner,,1,1. in Excel-Tabelle Kürzel: „Höfer 1815“ 2. Sollten die drei Bände besser einzeln angegeben werden?,,,Literatur,Fachliteratur,Wörterbuch
Höfer1894,Höfer 1894,1894,Die Volksnamen der Vögel in Niederösterreich,,Höfer,Franz,Wien,Franz Höfer,,1,,,,Literatur,,
HöferKronfeld1880,Höfer/Kronfeld 1889,1889,Die Volksnamen der niederösterreichischen Pflanzen,,Höfer/Kronfeld,Franz/Moritz,Wien,Blätter des Vereins für niederiederösterreichische Landeskunde,,,,,,Literatur,,
Holzer1943,Holzer 1943,1943,Wiener Volks-Humor. Harfenisten und Volkssänger,,Holzer,Rudolf,Wien,Andermann Verl.,,1,,,,Literatur,,
Hönig1922,Hönig 1922,1922,"Unsá Landl: Gedichte in oberösterreichischer Mundart; 9., veränderte und bereicherte Auflage",,Hönig,Franz,Linz a. d. Donau,Steurer,,,,,,Literatur,Literar.Text,Gedichte
Hopfgartner1970,Hopfgartner 1970,1970,Lautlehre der Mundart des Ahrntales in Südtirol. Diss. (masch.),,Hopfgartner,Hubert,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
Hörman1895,Hörmann 1895,1895,Gut aufg'legt. Neue G’schichten und Gedicht’ln,,Hörmann,Leopold,Dresden / Leipzig / Wien,,,,,,,Literatur,Literar.Text,Gedichte
Hornung1964,Hornung 1964,1964,Mundartkunde Osttirols. Eine dialektgeographische Darstellung mit volkskundlichen Einblicken in die altbäuerliche Lebenswelt. Mit 39 laut- und wortkundlichen Karten und 61 Abbildungen.,,Hornung,Maria,Wien,,,,,,,Literatur,,
Hornung1968,Hornung 1968,1968,"Die Mundart des oberen und mittleren Mölltales. In: Prasch, Helmut: Um die Möll. Volkskunde eines Kärntner Tales. 81-84.",,Hornung,Maria,Spittal/Drau,Bezirksheimatmuseum Spittal a. d. Drau,,1,,,,Literatur,,
Hruschka1933,Hruschka 1933,1933,Die bildhafte Sprache des Volkes,ZsWaldv. 6,Hruschka,Rudolf,Waldv.,Zeitschrift Waldviertel ,,,,,,Literatur,,
Hubatschek1948,Hubatschek 1948,1948,Über die Alltagskost beim Tiroler Bergbauern. In: Schlern-Schriften 53. 159-178,,Hubatschek,Erika,,,,,,,,Literatur,,
Hügel1873,Hügel 1873,1873,Der Wiener Dialekt. Lexikon der Wiener Volkssprache (Idioticon Viennense),,Hügel,Franz S.,Wien / Pest / Leipzig,A. Hartleben,,1,,,,Literatur,,
Hupfauf1956,Hupfauf 1956,1956,"Sagen, Brauchtum und Mundart im Zillertal. (= Schlern-Schriften 148)",,Hupfauf,Erich,Innsbruck/München,Universitätsverlag Wagner,,,,,,Literatur,,
Huppmann1960,Huppmann 1960,1960,Die Mundart von Judenau im südlichen Tullnerfeld und seiner Umgebung. Sprachbiologische Untersuchungen,,Huppmann,Gerhard,Wien,,,,,,,Literatur,,
HWBRator1994II,HWB Rätorom. 1994 II,1994,"Handwörterbuch des Rätoromanischen. Wortschatz aller Schriftsprachen, einschliesslich Rumantsch Grischun, mit Angaben zur Verbreitung und Herkunft",Band 2: N–Z,Bernardi/Stricker,Rut/Hans,Zürich,Offizin-Verlag,,,,,,Literatur,Fachliteratur,Wörterbuch
Insam1954,Insam 1954,1954,Wörter und Sachen im Bereich der Frau in der Gemeinde Serfaus - Tirol. Diss. (masch.),,Insam,Irma,Innsbruck,,,1,,,,Literatur,Fachliteratur,Dissertation
Jungmann1835I,Jungmann 1835 I,1835,Slovník česko-německý,Band 1: A-J,Jungmann,Josef,Praha,Vydání první,,,,,,Literatur,,
Jungmann1836II,Jungmann 1836 II,1836,Slovník česko-německý,Band 2: K-O,Jungmann,Josef,Praha,Vydání první,,,,,,Literatur,,
Kaltenbrunner1878,Kaltenbrunner 1878,1878,"Oberösterreichische Gedichte. Aus dem Nachlasse hg. von Radics-Kaltenbrunner, Hedwig von",,Kaltenbrunner ,Karl Adam,Linz,,,,,,,Literatur,Literar.Text,Gedichte
Karner1930,Karner 1930,1930,Lautlehre der hienzischen Mundart von Reichnitz und Umgebung. Diss. (masch.),,Karner,Hans,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
KärntischesWb1862,Kärntisches Wb. 1862,1862,Kärntisches Wörterbuch. Mit einem Anhange: Weihnacht-Spiele und Lieder aus Kärnten.,,Lexer,Matthias,Leipzig,Hirzel,340 Spalten,1,,,,Literatur,Fachliteratur,Wörterbuch
KärntnerischesId1862,Kärntnerisches Id. 1862,1862,Anton Ueberfelder’s Kärntnerisches Idiotikon,,Überfelder,Anton,Klagenfurt,Johann Leon,,1,,,,Literatur,,
Kartsch1845,Kartsch 1845,1845,Feldbleameln für seine liaw’n Landsleut z’samma brockt (Gedichte in österr. Mundart),,Kartsch,Josef,Wien,"Wimmer, Schmidt & Leo",,,,,,Literatur,Literar.Text,Gedichte
Kikieriki,Kikeriki,1861–1933,Kikeriki. Humuristisches Wochenblatt,,,,Wien,,http://data.onb.ac.at/rec/AC01381481,,,,,Literatur,,
Klauser1986,Klauser 1986,1986,Der Wiener Mundartwortschatz bei Eduard Pötzl und seine Weiterentwicklung bis zur Gegenwart. Diss. (masch.),,Klauser,Ingeborg,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
KlausmannKrefeld1986,Klausmann/Krefeld 1986,1986,"Romanische und rätoromanische Reliktwörter im Arlberggebiet. In: Holtus, G. (Hrsg.): Raetia antiqua et moderna: W. Theodor Elwert zum 80. Geburtstag. Tübingen, 121-145.",,Klausmann/Krefeld,Hubert/Thomas,Tübingen,Niemeyer,,,,,,Literatur,,
"Kloepfer, Hans1932",Kloepfer 1932,1932,Hintennach. In: Alpenländ. Monatshefte für das deutsche Haus. Heft 5. ,,Kloepfer,Hans,Graz,,,,,,,Literatur,,
Kluge2002,Kluge 2002,2002,"Etymologisches Wörterbuch der deutschen Sprache. 24., durchgesehene und erweiterte Auflage.",,Kluge/Seebold (Bearb.),Friedrich/Elmar,Berlin / Boston,De Gruyter,,1,,,,Literatur,Fachliteratur,Wörterbuch
Kluge2011,Kluge 2011,2011,"Etymologisches Wörterbuch der deutschen Sprache. 25., durchgesehene und erweiterte Auflage.",,Kluge/Seebold (Bearb.),Friedrich/Elmar,Berlin / Boston,De Gruyter,,1,,,,Literatur,Fachliteratur,Wörterbuch
Knapp1953,Knapp 1953,1953,Proben soziologischer Gegebenheiten und Einflüsse im Wienerischen. Diss. (masch.),,Knapp,Helga,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Köbler2010online,Köbler 2010 online,2010,Lateinisches Abkunfts- und Wirkungswörterbuch für Altertum und Mittelalter,,Köbler,Gerhard,,,,1,2009 statt 2010?,,,Literatur,Fachliteratur,Wörterbuch
Köbler2014online,Köbler 2014 online,2014,"Köbler, Gerhard, Althochdeutsches Wörterbuch. 6. Auflage",,Köbler,Gerhard,,,,1,,,,Literatur,Fachliteratur,Wörterbuch
